Organization Name,Organization Name URL,Categories,Headquarters Location,Description,CB Rank (Company)
Bungie,https://www.crunchbase.com/organization/bungie-software,"Digital Media, Media and Entertainment, Video Games","Bellevue, Washington, United States","From a creepy one bedroom apartment housing two dudes, to a fully-loaded game studio stuffed full of free snacks.",572
Babytree,https://www.crunchbase.com/organization/babytree,"Baby, Child Care, Social Media","Beijing, Beijing, China",Babytree is the largest and most popular parenting website in China.,582
Blue Prism Group PLC,https://www.crunchbase.com/organization/blue-prism-group-plc,"Innovation Management, Professional Services, Robotics","London, England, United Kingdom",Blue Prism develops robotic process automation software and transforms the core business processes to drive innovation.,590
BAE Systems,https://www.crunchbase.com/organization/bae-systems,"Aerospace, Manufacturing, National Security, Navigation","Rockville, Maryland, United States","BAE Systems designs, develops, and supports defense and aerospace systems used in the air, on land, at sea, and in space.",653
Braze,https://www.crunchbase.com/organization/braze,"Analytics, CRM, Marketing, Marketing Automation, Mobile, SaaS, Software","New York, New York, United States","Braze is a customer engagement platform for leading brands. We unite data, technology, and teams to create brilliant messaging experiences.",656
BlaBlaCar,https://www.crunchbase.com/organization/blablacar,"Car Sharing, Collaborative Consumption, Ride Sharing, Transportation, Travel","Paris, Ile-de-France, France",BlaBlaCar is a long distance carpooling platform that connects drivers with empty seats and passengers to share travel costs.,662
BYJU’S,https://www.crunchbase.com/organization/byju-s,"EdTech, Education, Higher Education, Secondary Education","Bangalore, Karnataka, India","BYJU'S makes learning effective and engaging for students in grades 4-12, through its app. It has 7 Mn+ users on it's platform today",674
Block.one,https://www.crunchbase.com/organization/block-one,"Blockchain, Infrastructure, Software",,block.one provides end-to-end solutions to bring businesses onto the blockchain from strategic planning to product deployment.,686
Bloomberg LP,https://www.crunchbase.com/organization/bloomberg,"Business Information Systems, Business Intelligence, Finance, Information Services, News","New York, New York, United States","Bloomberg provides news, data, analytics, and communication services for the global business and financial world.",768
BounceX,https://www.crunchbase.com/organization/bounce-exchange,"Analytics, Enterprise Software, Marketing, SaaS","New York, New York, United States",BounceX enables clients to transform their web traffic by serving content tailored to different visitor segments.,774
Bitdefender,https://www.crunchbase.com/organization/bitdefender,"Cloud Security, Cyber Security, Network Security, Software","Bucharest, Bucuresti, Romania",Bitdefender is a global security technology company that provides advanced threat protection to both business and consumer customers,795
BarkBox,https://www.crunchbase.com/organization/barkbox,"Consumer, Content, E-Commerce, Pet, Subscription Service","New York, New York, United States",Barkbox is a subscription-based e-commerce and content company for dog lovers.,834
Boxbot,https://www.crunchbase.com/organization/boxbot,"Logistics, Robotics, Supply Chain Management","Oakland, California, United States",Boxbot is a startup that was founded in twenty sixteen and is located in the San Francisco Bay Area.,843
Barclays PLC,https://www.crunchbase.com/organization/barclays-plc,"Accounting, Banking, Finance, Financial Services, Insurance","London, England, United Kingdom",Barclays PLC is a global financial services company that provides various financial products and services worldwide.,881
Bira 91,https://www.crunchbase.com/organization/bira-91,"Brewing, Craft Beer, Food and Beverage","New Delhi, Delhi, India","BIRA White Ale is a deliciously different wheat beer with low bitterness, a hint of spicy citrus with a soft finish.",890
Bancor,https://www.crunchbase.com/organization/bancor-protocol,"Cryptocurrency, Financial Services, FinTech","Zug, Zug, Switzerland","A protocol for the creation of Smart Tokens, a new standard for cryptocurrencies convertible directly through their smart contracts.",893
Brandwatch,https://www.crunchbase.com/organization/brandwatch,"Analytics, Database, Internet, Social Media","Brighton, East Sussex, United Kingdom",Brandwatch is a social intelligence group offering marketers a portfolio of social and content marketing technologies. ,896
Blockstack,https://www.crunchbase.com/organization/blockstack-inc,"Bitcoin, Developer Platform, Open Source","New York, New York, United States",Blockstack is a new internet for decentralized apps where users own their data directly.,907
Basis ,https://www.crunchbase.com/organization/basecoin,"Cryptocurrency, Financial Services, FinTech","Hoboken, New Jersey, United States",Basis is a price-stable cryptocurrency with an algorithmic central bank.,908
Bloom Energy,https://www.crunchbase.com/organization/bloom-energy,"CleanTech, Energy, Oil and Gas, Wind Energy","Sunnyvale, California, United States",Bloom Energy offers on-site power generation systems that can use a wide variety of inputs to generate electricity.,925
Brave,https://www.crunchbase.com/organization/brave-software,"Internet, SaaS, Software, Web Browsers","San Francisco, California, United States","Brave Software focuses on increasing browsing speed and safety for users, while growing ad revenue share for content creators.",973
Barnes & Noble,https://www.crunchbase.com/organization/barnes-noble,"E-Commerce, Internet, Retail","New York, New York, United States","Barnes & Noble, a multi-channel distribution platform providing access to trade books, textbooks, magazines, newspapers, and other content.",979
Behalf,https://www.crunchbase.com/organization/behalf,"B2B, Finance, FinTech, Internet of Things, Payments","New York, New York, United States","Behalf's mission is to empower commerce for businesses large and small with well-priced, on demand payment tools.","1,000"
Beam Therapeutics,https://www.crunchbase.com/organization/beam-therapeutics,"Genetics, Medical, Therapeutics","Cambridge, Massachusetts, United States",Beam Therapeutics is pioneering the use of CRISPR base editing to develop precision genetic medicines that treat disease.,"1,012"
Boughtbymany,https://www.crunchbase.com/organization/boughtbymany,"Finance, FinTech, Insurance","London, England, United Kingdom",Bought By Many is a multi award-winning insurtech start-up using social media to disrupt insurance distribution.,"1,037"
Birchbox,https://www.crunchbase.com/organization/birchbox,"Beauty, E-Commerce, E-Commerce Platforms, Internet","New York, New York, United States","Birchbox is a discovery commerce platform offering a personalized method for discovering, learning, and shopping for products in the market.","1,062"
Blend,https://www.crunchbase.com/organization/blend-labs,"Enterprise, Financial Services, FinTech, Home Services","San Francisco, California, United States","Blend's technology empowers top mortgage lenders to be more efficient, compliant, and borrower-friendly.","1,069"
Bitglass,https://www.crunchbase.com/organization/bitglass,"Cloud Security, IaaS, Mobile, SaaS","Campbell, California, United States",Bitglass is a Cloud Access Security Broker (CASB) that helps enterprises move to SaaS-based and mobile deployments securely.,"1,087"
Bigo Technology,https://www.crunchbase.com/organization/bigo-technology,"Internet, Social Media","Singapore, Asia",BIGO LIVE is the social video streaming app that has taken Southeast Asia by storm,"1,101"
Blink Health,https://www.crunchbase.com/organization/blink-health,"Biopharma, Medical, Pharmaceutical","New York, New York, United States",Blink Health is a web-based application that enables users to search for medical prescriptions online and pick them up from any pharmacy.,"1,114"
Beyond Limits,https://www.crunchbase.com/organization/beyond-limits,"Artificial Intelligence, Internet of Things, Machine Learning","Glendale, California, United States",Beyond Limits is a pioneering cognitive AI company with advanced technology proven in the US space program. ,"1,133"
BookMyShow,https://www.crunchbase.com/organization/bookmyshow,"Digital Entertainment, Media and Entertainment, Online Auctions, Ticketing","Mumbai, Maharashtra, India","India's Largest Entertainment Central for Movie Tickets, Event Tickets, and Concert Tickets.Cancel    ","1,134"
Babyscripts,https://www.crunchbase.com/organization/1eq,"Child Care, Health Care, mHealth, Mobile Apps","Washington, District of Columbia, United States",An Enhanced Approach to Prenatal Care,"1,162"
Beam Dental,https://www.crunchbase.com/organization/beam-technologies,"Dental, Insurance, Internet of Things","Columbus, Ohio, United States",A smarter dental benefits company that offers employers a proprietary underwriting method informed by oral hygiene routines.,"1,173"
"Bestow, Inc.",https://www.crunchbase.com/organization/bestow-inc,"FinTech, Insurance, Life Insurance","Dallas, Texas, United States",Bestow is an insurance technology company.,"1,176"
"BlueData Software, Inc.",https://www.crunchbase.com/organization/bluedata-software,"Analytics, Artificial Intelligence, Big Data, Machine Learning, Software","Santa Clara, California, United States",BlueData is a software company that helps enterprises accelerate their big data and machine learning deployments for faster time-to-value.,"1,177"
Blockstream,https://www.crunchbase.com/organization/blockstream,"Bitcoin, Computer, Cryptocurrency, Data Storage, FinTech","Montréal, Quebec, Canada","Blockstream is a FinTech company that works to accelerate innovation in crypto currencies, open assets, and smart contracts.","1,186"
Bilibili Inc,https://www.crunchbase.com/organization/bilibili-inc,"Mobile Apps, Video, Video Games","Shanghai, Shanghai, China",Bilibili is a video-sharing and game site in China.,"1,204"
BRD,https://www.crunchbase.com/organization/brd,"Bitcoin, Cryptocurrency, FinTech, Mobile Payments, Virtual Currency","Feusisberg, Zurich, Switzerland",BRD is a rapidly growing decentralized financial services platform.,"1,217"
Bubs Australia,https://www.crunchbase.com/organization/bubs-australia,"Baby, Food Processing","Frances, South Australia, Australia",Bubs Australia makes baby food with their totally natural organic baby meals in handy BPA-free pouches.,"1,221"
Bastille,https://www.crunchbase.com/organization/bastille-networks-2,"Cyber Security, Internet of Things, Security","San Francisco, California, United States",Bastille provides threat detection and security for the Internet of Things.,"1,254"
Brandless,https://www.crunchbase.com/organization/brandless,"Commercial, Consumer Goods, E-Commerce, Retail","San Francisco, California, United States",Brandless is an e-commerce company providing unbranded and essential products.,"1,274"
BitGo,https://www.crunchbase.com/organization/bitgo,"Bitcoin, E-Commerce, Financial Services, Internet, Security","Palo Alto, California, United States",BitGo is the leading Bitcoin security platform and a pioneer of multi-sig technology.,"1,290"
Barefoot Networks,https://www.crunchbase.com/organization/barefoot-networks,"Computer, Hardware, Network Hardware","Palo Alto, California, United States",Barefoot Networks sells ultrafast chips for switching systems.,"1,319"
Buoy Health,https://www.crunchbase.com/organization/buoy-health,"Artificial Intelligence, Health Care, mHealth","Boston, Massachusetts, United States",Buoy is an online symptom and cure checker that uses an intelligent algorithm backed by medical data to diagnose patients.,"1,321"
Becton Dickinson,https://www.crunchbase.com/organization/becton-dickinson,"Biotechnology, Health Care, Medical, Medical Device","Franklin Lakes, New Jersey, United States","BD is a medical technology company that serves healthcare institutions, life science researchers, clinical laboratories and the industry.","1,337"
Bevy,https://www.crunchbase.com/organization/bevy-a4a3,,"Palo Alto, California, United States","Bevy is a community events software platform based in Palo Alto, California.","1,380"
Brazil Plus,https://www.crunchbase.com/organization/brazil-plus,"Credit, Finance, Financial Services","São Paulo, Alagoas, Brazil",Brazil Plus advances financial inclusion for small and medium-sized companies in Brazil.,"1,442"
Biz2Credit,https://www.crunchbase.com/organization/biz2credit,"Financial Services, Internet, Marketplace","New York, New York, United States","Biz2Credit is a hub connecting small business owners with lenders and service providers, and seek solutions based on their online profiles.","1,451"
BitPesa,https://www.crunchbase.com/organization/bitpesa,"Bitcoin, Financial Services, Payments","Nairobi, Nairobi Area, Kenya","BitPesa is a digital F/X platform that offers businesses a fast, easy and low-cost way to make payments to, from, & within frontier markets.","1,453"
Branch,https://www.crunchbase.com/organization/branch-metrics,"Analytics, App Marketing, Mobile, Mobile Apps, Software","Palo Alto, California, United States",Branch helps companies drive seamless mobile experiences through its linking infrastructure powering thousands of today's top brands.,"1,465"
Bank of Ireland,https://www.crunchbase.com/organization/bank-of-ireland,"Banking, Finance, Financial Services","Dublin, Dublin, Ireland",Bank of Ireland is a commercial bank operation that provides a range of banking and other financial services.,"1,469"
BetterCloud,https://www.crunchbase.com/organization/bettercloud,"Apps, Cloud Security, Enterprise Software, SaaS, Software","New York, New York, United States","BetterCloud is the first SaaS Operations Management platform, empowering IT to define, remediate, and enforce policies for SaaS applications","1,507"
Boom Fantasy,https://www.crunchbase.com/organization/boom-shakalaka,"Fantasy Sports, Mobile, Sports","New York, New York, United States",Boom Fantasy is the leader in simplified daily fantasy sports.,"1,510"
Braintree,https://www.crunchbase.com/organization/braintree-payment-solutions,"Billing, Bitcoin, Credit Cards, Payments","Chicago, Illinois, United States",Braintree's payment platform provides all the tools online and mobile businesses need to accept payments.,"1,541"
Bitly,https://www.crunchbase.com/organization/bitly,"Analytics, Brand Marketing, Publishing, Social Media","New York, New York, United States",Bitly is a link management platform that helps brands deliver and measure their marketing efforts across all channels.,"1,570"
Babylon Health,https://www.crunchbase.com/organization/babylon-health,"Artificial Intelligence, Health Care, Hospital, mHealth","London, England, United Kingdom",Putting an accessible and affordable health service into the hands of every person on earth.,"1,584"
Bizongo,https://www.crunchbase.com/organization/bizongo,"B2B, E-Commerce, Packaging Services","Mumbai, Maharashtra, India",Bizongo is India’s leading B2B online marketplace for packaging products.,"1,605"
B-Stock Solutions,https://www.crunchbase.com/organization/bstock-solutions,"E-Commerce, Enterprise Software, Retail","Redwood City, California, United States",B-Stock Solutions offers liquidation sales management solutions for companies.,"1,609"
Bulletin,https://www.crunchbase.com/organization/bulletin,"Content, E-Commerce, Marketplace, Retail, Sharing Economy","New York, New York, United States",WeWork for Retail Space,"1,616"
Bugcrowd,https://www.crunchbase.com/organization/bugcrowd,"Crowdsourcing, Cyber Security, Penetration Testing, Security","San Francisco, California, United States",Bugcrowd harnesses the power of a global community of security researchers to surface critical software vulnerabilities.,"1,622"
Bleacher Report,https://www.crunchbase.com/organization/bleacher-report,"Advertising, Digital Media, Publishing, Sports","San Francisco, California, United States","Bleacher Report is a digital media company based in America, delivering digital media content on sports around the world.","1,641"
BankBazaar.com,https://www.crunchbase.com/organization/bankbazaar,"E-Commerce, Finance, Insurance, Marketplace","Chennai, Tamil Nadu, India",BankBazaar.com is a neutral online marketplace that gives instant customized rate quotes on loans and insurance products.,"1,642"
Bizible,https://www.crunchbase.com/organization/bizible,"Analytics, CRM, Internet, Marketing","Seattle, Washington, United States",Bizible offers an integrated marketing analytics platform for marketers to optimize their campaigns.,"1,655"
Blocko,https://www.crunchbase.com/organization/blocko,"Blockchain, Enterprise Software, Internet of Things, Software","Pangyo, Kyonggi-do, South Korea",Blocko is an enterprise blockchain solution provider.,"1,664"
BigchainDB,https://www.crunchbase.com/organization/bigchaindb,"Big Data, Bitcoin, Database, Internet, Open Source","Berlin, Berlin, Germany",BigchainDB is a scalable blockchain database,"1,678"
"Broncus Technologies, Inc.",https://www.crunchbase.com/organization/broncus-technologies-inc,Health Care,"Mountain View, California, United States",Broncus Technologies is a medical technology company developing minimally-invasive medical devices for emphysema and other lung diseases.,"1,687"
BetterPlace Safety Solutions Pvt. Ltd.,https://www.crunchbase.com/organization/betterplace-safety-solutions-pvt-ltd,"Human Resources, Security, Training","Bangalore City, Karnataka, India","BetterPlace provides businesses with contractor workforce management, including onboarding, training, and background checks.","1,695"
Bright Health,https://www.crunchbase.com/organization/bright-health,"FinTech, Health Insurance, Insurance","Minneapolis, Minnesota, United States",Bright Health provides tech-enabled consumer insurance plans for individuals across the country.,"1,701"
Blackwood Seven,https://www.crunchbase.com/organization/blackwood-seven,"Artificial Intelligence, Machine Learning, Marketing Automation, Predictive Analytics","Copenhagen, Hovedstaden, Denmark",Blackwood Seven is a digital marketing firm focusing on predictive analytics for businesses.,"1,714"
Boxed,https://www.crunchbase.com/organization/boxed,"Apps, E-Commerce, Grocery, Mobile, Shopping, Software, Wholesale","New York, New York, United States",Boxed is a commerce company focused on delivering the big box club experience.,"1,720"
Beautiful.AI,https://www.crunchbase.com/organization/beautiful-ai,"Artificial Intelligence, Machine Learning, Software","San Francisco, California, United States",Creating software that understands the rules of great design and allows anyone to build stunningly beautiful visual documents with ease.,"1,755"
BirdEye,https://www.crunchbase.com/organization/birdeye,"Analytics, Brand Marketing, Business Intelligence, Customer Service, Enterprise Software, Machine Learning, Reputation, Social Media Marketing, Software","Palo Alto, California, United States",BirdEye is the next generation SaaS platform for business reputation and customer experience.,"1,781"
"Blue Bottle Coffee, Inc.",https://www.crunchbase.com/organization/blue-bottle-coffee,"Coffee, Food and Beverage, Retail","Oakland, California, United States",Coffee roaster and retailer,"1,788"
Bradford Networks,https://www.crunchbase.com/organization/bradford-networks,"Mobile, Network Security, Security","Concord, New Hampshire, United States",Bradford Networks develops network access control solutions that deliver automated security products for enterprises and governments.,"1,789"
Brightcove,https://www.crunchbase.com/organization/brightcove,"Analytics, Cloud Computing, Digital Media, Enterprise Software, Publishing, Video","Boston, Massachusetts, United States",Brightcove is offers cloud-based platforms to publish and distribute digital media.,"1,794"
Bluecore,https://www.crunchbase.com/organization/triggermail,"Advertising, Brand Marketing, Email Marketing, Marketing Automation, Software","New York, New York, United States",Bluecore is building the future of ecommerce marketing through data and automation,"1,804"
Banjo,https://www.crunchbase.com/organization/banjo,"Apps, Artificial Intelligence, Content, Internet, Location Based Services, Machine Learning, Mobile, Real Time, Search Engine, Social Media","Redwood City, California, United States",Banjo provides real time content discovery by location across multiple social networks.,"1,832"
Bluesmart,https://www.crunchbase.com/organization/bluesmart,"Consumer Electronics, Hardware, Software, Travel","New York, New York, United States",Bluesmart is a technology company that develops Internet-connected travel products.,"1,870"
BitPay,https://www.crunchbase.com/organization/bitpay,"Bitcoin, Finance, Payments, Peer to Peer","Atlanta, Georgia, United States","BitPay is a payment processor for the peer-to-peer digital currency, Bitcoin.","1,876"
BAMTECH Media,https://www.crunchbase.com/organization/bamtech,"Digital Media, Video, Video Streaming","New York, New York, United States",BAMTECH Media provides technology services and video streaming company previously formed by Major League Baseball (MLB).,"1,892"
bevendee,https://www.crunchbase.com/organization/bevendee,"Consumer Electronics, E-Commerce, E-Commerce Platforms, Internet, Retail, Sharing Economy","Ranchi, Jharkhand, India","bevendee is a leading e-commerce operator in Eastern India, specialising in online retailing of Electronic Appliances and White Goods.","1,926"
Bolstr,https://www.crunchbase.com/organization/bolstr,"Financial Services, SaaS","Chicago, Illinois, United States","Bolstr is a marketplace where emerging consumer, retail and manufacturing businesses can raise funding for expansion from real investors.","1,933"
BetterUp,https://www.crunchbase.com/organization/betterup,"Corporate Training, Education, Training","San Francisco, California, United States",Happier employees. Better performing teams.,"1,947"
Babbel,https://www.crunchbase.com/organization/babbel,"Apps, EdTech, Education, Internet, Language Learning","Berlin, Berlin, Germany",Babbel is the market-leading app for language learning.,"1,953"
Buildingconnected,https://www.crunchbase.com/organization/buildingconnected,"Analytics, Construction, Database, Software","San Francisco, California, United States",Buildingconnected provides builders with cloud-based bid procurement services.,"1,958"
Bill.com,https://www.crunchbase.com/organization/bill-com,"Apps, Billing, Financial Services, SaaS","Palo Alto, California, United States",Bill.com is the leading digital business payments company creating magically simple AP and AR solutions.,"1,970"
Brain Corporation,https://www.crunchbase.com/organization/brain-corporation,"Artificial Intelligence, Autonomous Vehicles, Robotics, Software","San Diego, California, United States",Brain Corporation is a developer of autonomous navigational technologies.,"1,997"
Bitcoin.org,https://www.crunchbase.com/organization/bitcoin,Financial Services,,Bitcoin.org is dedicated to help Bitcoin to develop in a sustainable way.,"2,019"
Bonobos,https://www.crunchbase.com/organization/bonobos,"E-Commerce, Fashion, Retail, Shoes","New York, New York, United States",Bonobos is an e-commerce driven clothing brand focused on delivering great fit and excellent customer service.,"2,035"
Big Switch Networks,https://www.crunchbase.com/organization/big-switch-networks,"Data Center, Network Security, Software","Santa Clara, California, United States","Big Switch Networks is the Next-Generation Data Center Networking Company, designing intelligent, agile and flexible networks","2,051"
Blippar,https://www.crunchbase.com/organization/blippar,"Advertising, Artificial Intelligence, Augmented Reality, Computer Vision, Education, Image Recognition, Mobile, Wearables","London, England, United Kingdom","Blippar is a technology company specializing in augmented reality, artificial intelligence and computer vision.","2,054"
"Building Engines, Inc.",https://www.crunchbase.com/organization/building-engines,"Commercial Real Estate, Software","Waltham, Massachusetts, United States",SaaS provider of web and mobile operations software platform for commercial real estate owners and managers.,"2,058"
Better Mortgage,https://www.crunchbase.com/organization/bettermortgage,"Finance, Financial Services, Lending","New York, New York, United States","Better is a direct lender dedicated to providing a fast, transparent digital mortgage experience backed by superior customer support.","2,071"
Bread,https://www.crunchbase.com/organization/bread,"Consumer Lending, Financial Services, FinTech","New York, New York, United States",Bread partners with retailers to offer pay-over-time solutions that make financing easier and more transparent.,"2,120"
BorderX Lab,https://www.crunchbase.com/organization/borderx-lab,"E-Commerce, Mobile, Robotics, Shopping","Sunnyvale, California, United States",Democratization of global shopping via intelligent mobile robot; connect global brands with emerging Chinese consumers.,"2,138"
Browserling,https://www.crunchbase.com/organization/browserling,"Internet, Software, Web Browsers","Oakland, California, United States",Browserling is a solution that enables interactive cross-browser testing from the user’s browser.,"2,140"
Billon Group,https://www.crunchbase.com/organization/billon-group,"Banking, Blockchain, Financial Services, FinTech, Mobile Payments, Payments","London, England, United Kingdom",Billon Group is a tech company that uses blockchain to create next-gen solutions that reimagine the flow of regulated money and data.,"2,161"
BaishanCloud,https://www.crunchbase.com/organization/baishancloud,Internet,"Bellevue, Washington, United States","A provider of cloud managed services, specializing in cloud resource exchanges and interactions.","2,170"
